ss_row,ss_item,ss_qty,ss_price,ss_photo,match,sku,catalog_name,catalog_hide,catalog_price,catalog_category,notes
2,Vegas Stool,160,375.0,images/vegas-stool.png,high,55343454,Vegas,Short,400.0,ottomans,Vegas Short — hourglass stool | 400 on master vs 375 at Sunset Sage
3,Saddle barstool,100,350.0,images/saddle-barstool.png,medium,30400123,Saddle,Brown Hide,300.0,bar-stools,Generic brown mix; mapped to Saddle Brown Hide. Confirm. | 300 on master vs 350 at Sunset Sage
4,Vegas Barstool,72,500.0,images/vegas-barstool.png,high,55344545,Vegas,Tall,500.0,ottomans,Vegas Tall — hourglass bar height
5,Saddle barstool Ivory floral,64,350.0,images/saddle-barstool-ivory-floral.png,high,30400238,Saddle,Ivory Leaf,300.0,bar-stools,Ivory Leaf (sheet said floral) | 300 on master vs 350 at Sunset Sage
6,Saddle barstool Dark Croc,58,350.0,images/saddle-barstool-dark-croc.png,high,30400002,Saddle,Brown Croc,300.0,bar-stools,Catalog hide is Brown Croc | 300 on master vs 350 at Sunset Sage
7,Smith barstool,56,200.0,images/smith-barstool.png,medium,30450001,Smith,Tufted Brown,150.0,bar-stools,Generic Smith; mapped to Tufted Brown | 150 on master vs 200 at Sunset Sage
8,Trophy barstool White croc,47,550.0,images/trophy-barstool-white-croc.png,medium,30102003,Trophy,White Croc,650.0,bar-stools,Trophy 2 White Croc — not the tufted corset | 650 on master vs 550 at Sunset Sage
9,Brooke dining chairs brown with hide back,45,500.0,images/brooke-dining-chairs-brown-with-hide-back.png,high,10220789,Brooke,"Brown, Hide",600.0,dining-chairs,600 on master vs 500 at Sunset Sage
10,Kennedy barstool Dark brown diamond leather hide back,43,600.0,images/kennedy-barstool-dark-brown-diamond-leather-hide-back.png,high,30810276,Kennedy,Brown diamond Leather,550.0,bar-stools,Brown diamond leather; hide back on photo | 550 on master vs 600 at Sunset Sage
11,Marlo barstool Cowhide,37,450.0,images/marlo-barstool-cowhide.png,high,30217165,Marlo,New Cow Brindle Hide,350.0,bar-stools,New Cow Brindle Hide | 350 on master vs 450 at Sunset Sage
12,Saddle barstool Cowhide,35,350.0,images/saddle-barstool-cowhide.png,medium,30400123,Saddle,Brown Hide,300.0,bar-stools,Cowhide; also used for generic brown mix row 3 | 300 on master vs 350 at Sunset Sage
13,Saddle barstool Diamond,35,350.0,images/saddle-barstool-diamond.png,high,30400099,Saddle,Diamond,300.0,bar-stools,300 on master vs 350 at Sunset Sage
14,Brooke dining chairs black with hide back,35,500.0,images/brooke-dining-chairs-black-with-hide-back.png,high,10220790,Brooke,"Black, Hide",600.0,dining-chairs,600 on master vs 500 at Sunset Sage
15,Saddle barstool Valentina Tawny Light gold,34,350.0,images/saddle-barstool-valentina-tawny-light-gold.png,high,30400725,Saddle,Valentina Tawny Light,300.0,bar-stools,300 on master vs 350 at Sunset Sage
16,Saddle barstool Red Floral,34,350.0,images/saddle-barstool-red-floral.png,high,30400234,Saddle,Red leaf floral,300.0,bar-stools,300 on master vs 350 at Sunset Sage
17,Serena dining chair Black leather,33,500.0,images/serena-dining-chair-black-leather.png,high,11646222,Serena,Dark,600.0,dining-chairs,Serena Dark | 600 on master vs 500 at Sunset Sage
18,Lynn dining chair dark croc,33,600.0,images/lynn-dining-chair-dark-croc.png,high,11507002,Lynn,Brown croc,500.0,dining-chairs,Lynn Brown croc | 500 on master vs 600 at Sunset Sage
19,Saddle barstool Turquoise Croc,31,350.0,images/saddle-barstool-turquoise-croc.png,high,30400137,Saddle,Turquoise Croc,300.0,bar-stools,300 on master vs 350 at Sunset Sage
20,Kennedy barstool Brown croc front Hide back,30,600.0,images/kennedy-barstool-brown-croc-front-hide-back.png,medium,30810277,Kennedy,"Brown leather, hide back",550.0,bar-stools,"Closest Kennedy: brown leather, hide back (not named croc) | 550 on master vs 600 at Sunset Sage"
21,Saddle barstool Copper Cowboy Rose flower,27,350.0,images/saddle-barstool-copper-cowboy-rose-flower.png,high,30400240,Saddle,Copper Rose,300.0,bar-stools,Copper Rose | 300 on master vs 350 at Sunset Sage
22,"Stanley Accent chair, brown diamond with Hide back",27,1500.0,images/stanley-accent-chair-brown-diamond-with-hide-back.png,high,50213087,Stanley,"Brown, Diamond, Flower Stitch",1300.0,accent-chairs,"Brown, Diamond, Flower Stitch | 1300 on master vs 1500 at Sunset Sage"
23,Trophy barstool Dark croc,25,550.0,images/trophy-barstool-dark-croc.png,high,30103002,Trophy,Brown Croc,650.0,bar-stools,Trophy 3 Brown Croc | 650 on master vs 550 at Sunset Sage
24,Waller accent chair Brown Tufted Hide back,24,1500.0,images/waller-accent-chair-brown-tufted-hide-back.png,high,50750001,Waller,"Brown Tufted, hide back",1300.0,accent-chairs,1300 on master vs 1500 at Sunset Sage
25,"Scott Barstool black 25""",24,400.0,,new,,,,,,Scott line not on master sheet
26,"Scott Barstool brown 25""",24,400.0,images/scott-barstool-brown-25.png,new,,,,,,Scott line not on master sheet
27,"Scott Barstool camel 25""",24,400.0,,new,,,,,,Scott line not on master sheet
28,Smith barstool tufted white croc,23,200.0,images/smith-barstool-tufted-white-croc.png,review,,,,,,Smith tufted white croc — catalog photo SKU 30190002 is not on the master
29,Saddle barstool Turquoise Leaf,22,350.0,images/saddle-barstool-turquoise-leaf.png,high,30400237,Saddle,Turquoise Leaf,300.0,bar-stools,Turquoise Leaf (not Floral) | 300 on master vs 350 at Sunset Sage
30,Trophy barstool tufted blue,21,550.0,images/trophy-barstool-tufted-blue.png,high,30103016,Trophy,Tufted Blue,650.0,bar-stools,650 on master vs 550 at Sunset Sage
31,Dakota dining chair Brown front hide back,21,500.0,images/dakota-dining-chair-brown-front-hide-back.png,new,,,,,,Dakota only has Black Hide on the master; this is brown hide
